content | chapter
On and on the Great River rolls, racing east, Of proud and gallant heroes, its white-tops leave no trace, As right and wrong, pride and fall turn all at once unreal. Yet ever the green hills stay To blaze in the west-waning day. Fishers and woodsmen comb the river isles. White-crowned, they’ve seen enough of spring and autumn tide To make good company over the wine jar, Where many a famed event Provides their merriment. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
The empire, long divided, must unite; long united, must divide. Thus it has ever been. In the closing years of the Zhou dynasty, seven kingdoms warred among themselves until the kingdom of Qin prevailed and absorbed the other But Qin soon fell and on its ruins 2 opposing kingdoms, Chu and Han fought for mastery until the kingdom of Han prevailed and absorbed its rival as Qin had done before. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
The Han court's rise to power began when the Supreme Ancestor slew a white serpent, inspiring an uprising that ended with Han's ruling a unified empire. 200 years later, after Wang Mang's usurpation, Emperor Guang Wu restored the dynasty and Han emperors ruled for another 200 years down to the reign of Xian, after whom the realm split into 3 kingdoms. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
The cause of Han's fall may be traced to the reigns of Xian's 2 predecessors, Huan and Ling. Huan drove from office and persecuted officials of integrity and ability, giving all his trust to his eunuchs. After Ling succeeded Huan as emperor, Regent-Marshal Dou Wu and Imperial Guardian Chen Fan, joint sustainers of the throne, planned to execute the power-abusing eunuch Cao Jie and his cohorts. But the plot came to light, and Dou Wu and Chen Fan were themselves put to death. From then on, the Minions of the Palace knew no restraint. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
On the 15th day of the 4th month of the 2nd year of the reign Established Calm (Jian Ning), the Emperor arrived at the Great Hall of Benign Virtue for the full-moon ancestral rites. As he was about to seat himself, a strong wind began issuing out of a corner of the hall. From the same direction a green serpent appeared, slid down off a beam, and coiled itself on the throne. The Emperor fainted and was rushed to his private chambers. The assembled officials fled. The next moment the serpent vanished and a sudden thunderstorm broke. Rain laced with hailstones pelted down for half the night, wrecking countless buildings. In the 2nd month of the 4th year of Established Calm an earthquake struck Luoyang, the capital and tidal waves swept coastal dwellers out to sea. In the 1st year of Radiant Harmony (Guang He) hens were transformed into roosters. And on the 1st day of the 6th month a murky cloud more than 100 spans in length floated into the Great Hall of Benign Virtue. The next month a secondary rainbow was observed in the Chamber of the Consorts. Finally, a part of the cliffs of the Yuan Mountains plunged to earth. All these evil portents and more appeared— too many to be dismissed as isolated signs. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
Emperor Ling called on his officials to explain these disasters and omens. A court counsellor, Cai Yong, argued bluntly that the secondary rainbow and the transformation of the hens were the result of interference in government by empresses and eunuchs. The Emperor merely read the report, sighed, and withdrew. The eunuch Cao Jie observed this session unseen and informed his associates. They framed Cai Yong in another matter and he was dismissed from office and retired to his village. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
After that a vicious gang of eunuchs known as the 10 Regular Attendants— Zhang Rang, Zhao Zhong, Feng Xu, Duan Gui, Cao Jie, Hou Lan, Jian Shuo, Cheng Kuang, Xia Yun, and Guo Sheng— took charge. Zhang Rang gained the confidence of the Emperor who called him Nuncie. Court administration became so corrupt that across the land men's thoughts turned to rebellion and outlaws swarmed like hornets. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
A rebel group, the Yellow Scarves was organised by 3 brothers from the Julu district — Zhang Jue, Zhang Bao, and Zhang Liang. Zhang Jue had failed the official provincial-level examination and repaired to the hills where he gathered medicinal herbs. One day he met an ancient mystic, emerald-eyed and with a youthful face, gripping a staff of goosefoot wood. The old man summoned Zhang Jue into a cave where he placed in his hands a sacred book in 3 volumes. "Here is the Essential Arts for the Millennium," he said. "Now that you have it, spread its teachings far and wide as Heaven's messenger for the salvation of our age. But think no seditious thoughts or retribution will follow." Zhang Jue asked the old man's name and he replied, "The Old Hermit from Mount Hua Summit— Zhuang Zi, the Taoist sage." Then he changed into a puff of pure breeze and was gone. Zhang Jue applied himself to the text day and night. By acquiring such arts as summoning the wind and invoking the rain, he became known as the Master of the Millennium. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
During the 1st month of the 1st year of the reign Central Stability (Zhong Ping), a pestilence spread through the land. Styling himself Great and Worthy Teacher, Zhang Jue distributed charms and potions to the afflicted. He had more than 500 followers, each of whom could write the charms and recite the spells. They travelled widely and wherever they passed, new recruits joined until Zhang Jue had established 36 commands— ranging in size from 6000 or 7000 to over 10,000— under 36 chieftains titled general or commander. | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
A seditious song began to circulate at this time: The pale sky is on the wane, Next, a yellow one shall reign; The calendar's rotation Spells fortune for the nation. Jue ordered the words new cycle chalked on the front gate of every house, and soon the name Zhang Jue, Great and Worthy Teacher, was hailed throughout the 8 provinces of the realm— Qingzhou, Youzhou, Xuzhou, Jizhou, Jingzhou, Yangzhou, Yanzhou, and Yuzhou. At this point Zhang Jue had his trusted follower Ma Yuanyi bribe the eunuch Feng Xu to work inside the court on behalf of the rebels. Then Zhang Jue made a proposal to his 2 brothers: "Popular support is the hardest thing to win. Today the people favour us. Why waste this chance to seize the realm for ourselves?" | 001 The 3 Bold Spirits Plight Mutual Faith in the Peach Garden; Heroes & Champions Win the 1 st Honours Fighting the Yellow Scarves
