sentence,remark
1.《西游记》，长篇（神话）小说，是（古典神话小说）中成就最高、最受喜爱的小说。但这部作品并非全无依傍，它有历史真实的影子，即唐贞观年间（玄奘西行取经）的事件，《大唐西域记》和《大唐慈恩寺法师传》对此事有详细的记载。（玄奘取经）的故事经民间文艺演出，成为以后小说的素材来源。,西游记常识
2.《西游记》全书（100）回，基本由两个故事组成，第 1 至 7 回，写孙悟空出世至（大闹天宫），表现的是孙悟空对自由的无限追求和斗争最终失败的悲剧，体现出了人性的自由本质与现实生活的约束的矛盾处境。第 8 至 12 回写的来历、魏征斩蛇、唐太宗入冥府，交代取经的缘起；第 13 回至 l00 回写唐僧师徒历经（81）难，去西天大雷音寺取经，终于修成正果。,西游记常识
3.《西游记》中所写天下所分的四大洲分别是：东胜神州；西牛贺洲；南赡部洲；北俱芦洲。,西游记常识
4.《西游记》的作者运用了（浪漫主义）手法描绘了一个奇妙的神话世界，花果山水帘洞洞口的对联是（花果山福地，水帘洞洞天）。,西游记常识
5.孙悟空的第一个师傅是（菩提老祖），他的兵器原是大禹治水的（定海神针），又唤（如意金箍棒），大闹天宫后被如来佛祖压在（五指山）下。后皈依佛门，唐僧为他取名（行者）。为西天取经立下汗马功劳，后被封为（斗战胜佛）。,西游记常识
6.猪八戒又叫（悟能），原为管理天河水兵的（天蓬元帅），获罪下凡，误投猪胎，曾占（云栈洞）为妖，后经菩萨点化，保唐僧取经，得成正果，封为（净坛使者）。,西游记常识
7.沙僧也叫（悟净），原为天宫中的（卷帘大将），被贬下界，在（流沙河）为妖，后保唐僧取经，得成正果，封为（金身罗汉）。,西游记常识
8.白龙马原是（西海龙王）之三太子小白龙，因违逆父命被囚鹰愁涧，后化作白马驮负唐僧取经，被封为（八部天龙）。后在化龙池中得复原身，盘绕在大雷音寺的（擎天华表柱）上。,西游记常识
9.《西游记》中孙悟空从菩提祖师处学到（七十二般变化）、（筋斗云）等神通，又从龙宫索取（金箍棒）作为兵器。因大闹天宫被（如来佛）压在五行山下，受苦五百年，后受（观音菩萨）规劝皈依佛门， 给唐僧做了大徒弟。,西游记常识
10.在护送唐僧去西天取经途中，机智灵活、嫉恶如仇的是（孙悟空）;憨态可掬、好耍小聪明的是（猪八戒），法名是（悟能）;忠诚老实、勤勤恳恳的是（沙和尚）,西游记常识
11.唐僧是如来佛祖的弟子（金蝉子）转世投胎作状元（陈光蕊）之子，出家后法名（玄奘），修成正果后被封为（旃檀功德佛）。,西游记常识
12.《西游记》中有许多脍炙人口的故事，如三打白骨精、大闹天宫、真假美猴王、三借芭蕉扇。,西游记常识
13.古典文学名著《西游记》中，孙悟空最具有反抗精神的故事章节是：乱蟠桃大圣偷丹，反天宫诸神捉怪。,西游记常识
14.通过“大闹天宫”这一段精彩描写，我们不难发现，作品的象征意味是很深浓的。天宫是（人间朝廷）的代称；玉帝是（封建皇帝）的化身；孙悟空是（人民意愿）的化身和（民主主义思想）的代表。,西游记常识
15.当托塔李天王率天兵天将杀至花果山，历数了悟空的数条罪状后，悟空答：“实有！实有！”这又给孙大圣的形象抹上一笔亮丽的色彩，那就是敢作敢当。,西游记常识
16.《西游记》全书共 100 回，孙悟空自号齐天大圣。,西游记常识
17.请写出《西游记》中你印象最深的一个回目的题目：第四十五回；三清观大圣留名，车迟国猴王显法。,西游记常识
18.第八十一难是在通天河被老龟翻落河中，弄湿经卷。,西游记常识
19.填人名，补足歇后语。(猪八戒)照镜子——里外不是人；(孙悟空)钻进铁扇公主肚里——心腹之患,西游记常识
20.有人对《西游记》道：“阳光灿烂猪八戒，百变猴头孙悟空，憨厚老成沙和尚，阿弥陀佛是唐僧。漫漫西天取经路，除妖斗魔显真功。若问是谁普此画，淮安才子吴承恩。”,西游记常识
21.列举出唐僧师徒四人取经路上经历的磨难。举四例即可：黑松林遇黄袍老怪；黄风岭遭黄毛貂鼠精暗算；牛魔王之子红孩儿抢走唐僧；平顶山莲花洞太上老君炼丹童变成妖精。,西游记常识
22.唐僧看不出妖怪的种种变化，除了因为他是肉眼凡胎之外，还有哪些原因是不可忽视的? 本性愚钝、忠奸不分，又受了猪八戒的调唆。,西游记常识
23.唐僧驱逐孙悟空之后，出现了“真假美猴王”一事，为什么会出现两个“美猴王”? 提示：唐僧师徒生了二心，内部不团结而致。,西游记常识
24.《西游记》中的玉皇大帝具有怎样的性格特点?作者塑造这一形象的目的何在?读了《西游记》后你感受最深的一点是什么? 参考：昏庸无能，不辨忠愚。对封建统治者的嘲讽蔑视，对黑暗社会的尖锐讽刺、嘲笑和批判。找出你感受最深的一点，并充分说明理由即可。,西游记常识
25.对猪八戒这个人物一种看法认为：猪八戒好吃懒做，见识短浅，在取经的路上，意志不坚定，遇到困难就嚷嚷着要散伙。而且还经常搬弄是非、耍小聪明、说谎，又爱占小便宜，贪恋女色。是一个贪生怕死、自私自利的人。你同意他们的观点吗? 如果不同意，你怎样反驳他? 参考：猪八戒能吃苦耐劳，对师父忠心耿耿。在与妖魔的斗争中，他总是挥舞钉耙，勇猛战斗，是孙悟空的得力助手。他知错能改，乐于助人，是一个忠勇善良、淳朴憨厚的人。
