name,province,country,tags,fun_fact
北京,北京市,中国,首都|天安门|故宫|长城,北京是中国的首都，有天安门广场和故宫。
天津,天津市,中国,相声|麻花|海河|狗不理,天津有海河，相声和麻花很有名。
上海,上海市,中国,外滩|东方明珠|小笼包|黄浦江,上海是中国最大的城市之一，有东方明珠塔。
重庆,重庆市,中国,火锅|山城|长江|轻轨,重庆是山城，轻轨会从楼里穿过。
石家庄,河北省,中国,赵州桥|驴肉火烧|河北省会,石家庄是河北省会，赵州桥很古老。
唐山,河北省,中国,陶瓷|钢铁|地震,唐山出产陶瓷，也是钢铁城市。
秦皇岛,河北省,中国,北戴河|山海关|大海,秦皇岛有山海关和北戴河海边。
邯郸,河北省,中国,成语|赵文化|丛台,邯郸有很多成语故事。
邢台,河北省,中国,太行山|邢窑|郭守敬,邢台在太行山附近，有古老邢窑。
保定,河北省,中国,驴肉火烧|白洋淀|直隶总督署,保定有白洋淀，驴肉火烧很香。
张家口,河北省,中国,滑雪|长城|草原,张家口办过冬奥会滑雪比赛。
承德,河北省,中国,避暑山庄|外八庙|皇家,承德有皇帝夏天住的避暑山庄。
沧州,河北省,中国,武术|杂技|铁狮子,沧州是武术和杂技之乡。
廊坊,河北省,中国,京津走廊|家具|温泉,廊坊在北京和天津之间。
衡水,河北省,中国,衡水湖|老白干|内画,衡水湖有很多鸟。
太原,山西省,中国,晋祠|醋|面食|煤炭,太原是山西省会，老陈醋很有名。
大同,山西省,中国,云冈石窟|刀削面|煤都,大同有云冈石窟大佛。
阳泉,山西省,中国,娘子关|煤铁|百团大战,阳泉有娘子关和煤矿。
长治,山西省,中国,太行山|上党|党参,长治在太行山，出产党参。
晋城,山西省,中国,皇城相府|煤炭|沁河,晋城有皇城相府古建筑。
朔州,山西省,中国,应县木塔|煤电|右玉,朔州有应县木塔，很高很老。
晋中,山西省,中国,平遥古城|晋商|大院,晋中有平遥古城和乔家大院。
运城,山西省,中国,关帝庙|盐湖|鹳雀楼,运城有盐湖和关帝庙。
忻州,山西省,中国,五台山|雁门关|杂粮,忻州有五台山和雁门关。
临汾,山西省,中国,尧都|壶口瀑布|牛肉面,临汾有黄河壶口瀑布。
吕梁,山西省,中国,太行山|红枣|白酒,吕梁出产红枣和白酒。
呼和浩特,内蒙古自治区,中国,草原|烧麦|乳都,呼和浩特是内蒙古首府，牛奶很多。
包头,内蒙古自治区,中国,钢铁|稀土|草原,包头有钢铁和稀土。
乌海,内蒙古自治区,中国,沙漠|葡萄|书法,乌海在沙漠边，出产葡萄。
赤峰,内蒙古自治区,中国,红山文化|玉龙|草原,赤峰有红山文化玉龙。
通辽,内蒙古自治区,中国,草原|牛肉干|蒙古族,通辽有科尔沁草原。
鄂尔多斯,内蒙古自治区,中国,羊绒|煤炭|成吉思汗,鄂尔多斯有成吉思汗陵。
呼伦贝尔,内蒙古自治区,中国,大草原|森林|羊肉,呼伦贝尔草原很有名。
巴彦淖尔,内蒙古自治区,中国,河套|黄河|葵花,巴彦淖尔在黄河边，产葵花。
乌兰察布,内蒙古自治区,中国,草原|马铃薯|火山,乌兰察布有火山草原。
沈阳,辽宁省,中国,故宫|工业|鸡架,沈阳是辽宁省会，有故宫。
大连,辽宁省,中国,大海|足球|海鲜,大连是海边城市，足球很有名。
