name,continent,capital,tags,fun_fact
中国,亚洲,北京,长城|熊猫|高铁|美食,首都是北京，有长城和熊猫。
日本,亚洲,东京,樱花|动漫|寿司|富士山,有樱花、动漫和富士山。
韩国,亚洲,首尔,泡菜|韩剧|K-pop|半导体,有泡菜、韩剧和K-pop。
朝鲜,亚洲,平壤,冷面|长白山|阿里郎,有冷面和长白山。
蒙古,亚洲,乌兰巴托,草原|游牧|戈壁,有草原和游牧生活。
越南,亚洲,河内,河粉|下龙湾|咖啡,有河粉和下龙湾。
老挝,亚洲,万象,湄公河|寺庙|大象,有湄公河和寺庙。
柬埔寨,亚洲,金边,吴哥窟|水稻|湄公河,有吴哥窟古迹。
泰国,亚洲,曼谷,冬阴功|大象|寺庙|海岛,有大象、寺庙和海岛。
缅甸,亚洲,内比都,佛塔|翡翠|伊洛瓦底江,有很多佛塔和翡翠。
马来西亚,亚洲,吉隆坡,双子塔|棕榈油|榴莲,有双子塔和榴莲。
新加坡,亚洲,新加坡,花园城市|鱼尾狮|港口,是花园城市，有鱼尾狮。
印度尼西亚,亚洲,雅加达,巴厘岛|火山|棕榈油,有巴厘岛和火山。
菲律宾,亚洲,马尼拉,海岛|芒果|台风,有很多海岛和芒果。
文莱,亚洲,斯里巴加湾市,石油|伊斯兰|雨林,有石油和雨林。
东帝汶,亚洲,帝力,咖啡|海岛|檀香,有咖啡和海岛。
印度,亚洲,新德里,泰姬陵|瑜伽|咖喱|宝莱坞,有泰姬陵和瑜伽。
巴基斯坦,亚洲,伊斯兰堡,清真寺|印度河|芒果,有印度河和芒果。
孟加拉国,亚洲,达卡,恒河|黄麻|洪水,有恒河和黄麻。
斯里兰卡,亚洲,科伦坡,红茶|宝石|大象,有红茶、宝石和大象。
尼泊尔,亚洲,加德满都,珠峰|寺庙|徒步,有珠穆朗玛峰。
不丹,亚洲,廷布,幸福|寺庙|雪山,是幸福王国，有雪山。
马尔代夫,亚洲,马累,海岛|珊瑚|潜水,有很多珊瑚岛。
阿富汗,亚洲,喀布尔,山地|地毯|石榴,有山地和地毯。
伊朗,亚洲,德黑兰,波斯|地毯|石油,有波斯地毯和石油。
伊拉克,亚洲,巴格达,两河|石油|椰枣,有两河和椰枣。
叙利亚,亚洲,大马士革,古城|玫瑰|战争,有古城和玫瑰。
黎巴嫩,亚洲,贝鲁特,雪松|地中海|美食,有雪松和地中海。
以色列,亚洲,耶路撒冷,犹太|科技|死海,有死海和科技。
巴勒斯坦,亚洲,拉姆安拉,橄榄|古城|中东,有橄榄和古城。
约旦,亚洲,安曼,佩特拉|死海|沙漠,有佩特拉古城和死海。
沙特阿拉伯,亚洲,利雅得,石油|沙漠|麦加,有石油和沙漠。
也门,亚洲,萨那,咖啡|古城|沙漠,有咖啡和古城。
阿曼,亚洲,马斯喀特,乳香|沙漠|海港,有乳香和沙漠。
阿联酋,亚洲,阿布扎比,迪拜|石油|沙漠,有迪拜塔和沙漠。
卡塔尔,亚洲,多哈,石油|半岛|世界杯,办过世界杯，有石油。
巴林,亚洲,麦纳麦,珍珠|石油|金融,有珍珠和石油。
科威特,亚洲,科威特城,石油|沙漠|海湾,有石油和沙漠。
哈萨克斯坦,亚洲,阿斯塔纳,草原|石油|航天,有草原和航天发射。
乌兹别克斯坦,亚洲,塔什干,丝路|棉花|古城,有丝路古城和棉花。
土库曼斯坦,亚洲,阿什哈巴德,沙漠|天然气|汗血马,有沙漠和汗血马。
吉尔吉斯斯坦,亚洲,比什凯克,天山|湖泊|游牧,有天山和湖泊。
塔吉克斯坦,亚洲,杜尚别,帕米尔|高山|棉花,有帕米尔高原。
