sentence,remark
每天微笑，具会产生健康、积极心态等复利效果。,
多在群里为别人分享点赞，能让你心情变好。,
有些蔬菜表面不平整，坑坑洼洼比较多，很容易藏污纳垢，也更容易存在农药残留问题。比如西兰花、菜花、木耳都不太好清洗，缝隙中还可能有泥土和虫卵。这类菜需要先焯水。,https://mp.weixin.qq.com/s/YMFCoIV60KqR5JEu1W0_Gg
你的同学把他写的小说拿来给你看，请你评价。他写得并不好。那么你是说实话，还是违心说假话？都不必。你可以很热情地和同学谈论小说里的某个场景、情节或人物是怎样设计出来的，这既不涉及评价，又化解了被要求评价的尴尬。,
王建硕：拖地板是一件我特别不愿意做的事儿，但如果把它看成拖地砖，我的抗拒和恐惧情绪就会减少一大半。只需要找一块地砖，拖好，然后选择下一块地砖。地板是一个宏观的让我有情绪的概念。地砖不是。,
如果你想快速入睡，告诉你一个非常有用的小技巧，那就是躺在床上假装打哈欠。,https://m.igetget.com/share/topic?id=yReXEK8BxkzDrMAQLrdlPgqnZAMYOv
精读1本书胜过泛读10本书。,https://www.bjnews.com.cn/detail/1761115336129414.html
引导孩子在日常生活中注意观察，观察身边的人、事、物，甚至季节的更替、花朵的开放等细节，并把观察到的内容写出来。,https://www.bjnews.com.cn/detail/1761115336129414.html
茅盾文学奖得主麦家：家长要像欣赏孩子的作品一样讨论孩子的作文，帮助他们知道怎么修改会变得更好。只有这样，才能更好地引导孩子爱上写作。,https://www.bjnews.com.cn/detail/1761115336129414.html
研究表明，孩子的身高70%取决于父母基因，30%取决于后天。在这30%的外在因素中，睡眠对身高的影响排名第一，超过运动和饮食，原因就在于睡眠中会分泌出生长激素。https://www.thepaper.cn/newsDetail_forward_7045095,
有两个时间段，生长激素的分泌最为旺盛，分别是21:00-1:00，5:00-7:00。https://www.thepaper.cn/newsDetail_forward_7045095,
生长激素大量分泌的前提是，孩子必须处于深度睡眠状态。人一般在入睡后半小时至1小时，才进入深度睡眠状态。https://www.thepaper.cn/newsDetail_forward_7045095,
想要完成非凡之事，枯燥乏味的工作是必不可少的。（哲学家罗素）,
为了摆脱无意义的重复，稻盛和夫给自己定下规矩：每天下班后，第一件事就是反思一天的工作，为明天总结出一点经验教训。https://mp.weixin.qq.com/s/TVjCMydvyK3ILrtpFNt-vQ,
我不怕练过一万种腿法的人，我只怕把同一种腿法练了一万次的人。（李小龙）,
人生最大的失败不是跌倒，而是拒绝爬起来。,
一般来说，一个体重60公斤的人在20分钟内完成500个开合跳，大约能消耗250卡路里，相当于半小时慢跑的热量消耗。,
胯下击掌30次。,
放下手机，马上来120次开合跳！,
120次开合跳，我能坚持21天，成为习惯。,
要成功，必須先相信自己可以成功。,
冥想能改造大脑。用鼻子吸气，默念1、2、3，想象吸进天地精华。然后用嘴巴慢慢呼气，想象呼出糟糕的心情。注意不要,
大声对自己说：我聪明且有能力学会任何困难的事情。,
写字是最好的疗愈。拿起笔写字，描摹脑子里想到的句子，记日记流水账，都可以。,
花30秒想象成功的自己。,
不断地肯定，直到变成信仰。,
大声对自己说：我势不可挡。,
大声对自己说：我比自己想象的强大。,
微笑的自己最美。,
边看视频边吃饭会严重影响孩子的专注力和味觉的发育。边看视频边吃饭，孩子的注意力会被频频吸引走，不仅让孩子的进食速度更慢，孩子的大脑无法感知到“饱腹信号”，就容易不小心“暴饮暴食”，久而久之，肥胖、消化问题、专注力问题就找上门来了。https://mp.weixin.qq.com/s/g08ggJDTLGR_qCypdGJXXA,
享受也是一种能力，同样的生活，有人乐在其中，有人度日如年。,
多项权威文献指出，森林环境能降低唾液皮质醇等应激激素浓度，降低氧化应激和促炎水平，增强副交感神经系统活性，使身体整体进入放松状态，减少负面情绪和压力，改善睡眠。https://mp.weixin.qq.com/s/TA_1rc4tbISfiuS8_Jjr1g ,
🚶‍♀️🚶‍♀️散步本身就是一项极佳的抗抑郁运动。散步时，身体会释放内啡肽，这种神经递质可以带来自然、温和的愉悦感，降低身体的疼痛反应。有条件的话，去有树有水的地方散步更好。,
森林里植物，流动水体如瀑布、溪流产生的负离子，可以提高情绪化学物质血清素的水平，增加流向大脑的氧气量，有助于缓解抑郁、缓解压力，并提升我们白天的活力。,
缓缓步行 15 分钟，唾液皮质醇浓度开始下降。🌳森林环境散步 15 分钟后平均皮质醇下降 1.53 nmol/LVS；🏠城市环境散步 15 分钟后平均皮质醇下降 0.27 nmol/L。https://mp.weixin.qq.com/s/TA_1rc4tbISfiuS8_Jjr1g ,
如果小孩不收拾玩具，可以尝试制定规则：玩具玩完后需要收拾好哦，否则它们会被暂时放进「玩具休息箱」，等宝宝下次能自己收拾时，再从休息箱里拿出来玩。https://mp.weixin.qq.com/s/tuz1h8wZp0o0o6lJQGpgUw ,
「玩具再不收，就扔了」是威胁，也是恐吓。当我们对孩子吼出这句话时，是把鞭子打在孩子的心上。对低龄孩子来说，「不收拾玩具 → 把玩具扔掉」这个因果链是跳跃的，超出了他们的理解能力，孩子的大脑根本接不住。孩子会迷惑：「我只是放一边，等会儿还想玩，为什么就要失去玩具？」,
即便是高龄，也能通过语言学习刺激海马体，延缓认知衰退。玛格丽特退休后开始学习西班牙语，每天跟孙女玩“单词接龙”。两年后，医生发现她的记忆力测验成绩比同龄人高出近20%。（《变化的头脑：语言如何延缓衰老》）,
在纽约，一位韩国奶奶每天用韩语打电话给首尔亲戚，又和邻居练习英语。MRI显示，她的前额叶皮层厚度与50岁人群相当。,
讲述和翻译双重刺激，可同时训练记忆与逻辑。在日本，一位患有轻度认知障碍的奶奶每天录下自己的生活小故事，用日语讲完再尝试用英语复述。半年后，她的短期记忆测试分数上升了15分。,
语言学习+情感连接=最强的抗衰组合。意大利一位外公每天陪孙子玩英语拼字游戏。研究者发现，亲子互动中的“即时反馈”让外公的大脑奖励系统释放更多多巴胺，学习效率更高。,
双语者在大脑导航、执行功能上表现更佳，语言是认知训练的天然“健身房”。伦敦的出租车司机约翰，平时用英语接单，但家中讲波兰语。研究发现，他的空间记忆和大脑灰质体积明显优于同龄单语司机。,
加拿大一项调查发现，说两种以上语言的老人，即便被诊断为阿尔茨海默症，症状平均推迟4-5年才出现。,
会方言的老人，即便不学外语，也能得到认知保护。上海的李奶奶从小会说普通话、吴语（上海话）和一点点苏北话。语言学家发现，方言切换的认知负荷与外语类似，也能强化前额叶皮层。,
语言交流不仅是记忆训练，更是情绪保健。芬兰一群独居老人，每周聚会玩“词语接龙”和“故事接龙”游戏。半年后，他们的情绪指数和记忆测验都显著改善。,
人类的大脑发育一般在20~40岁达到顶峰，从40岁开始，大脑神经细胞(神经元)数量逐步减少，从而对记忆力、协调性及大脑功能造成影响，大脑的体积也逐渐缩小。 https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q ,
《美国医学杂志》发表的一项研究发现，说话时只要有人听，大脑就会有更强的认知弹性，对四五十岁的人来说，听众少的人的大脑比听众多的老4岁。,
有研究表明，当一个人大声阅读指令时，往往比那些默默阅读指令的人更能集中注意力、工作表现更好。如果需要记住大量信息，特别是书面上的信息，大声朗读是最佳的方法。,
阅读纸质书能延长寿命。每天至少读纸质书30分钟的人比不读书的人平均寿命延长近两年。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q,
美国拉什大学医学中心研究显示，经常读书看报的老人，脑力下降危险比一般人群低32%。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q ,
美国加州大学伯克利分校对平均年龄76岁的老人进行大脑扫描发现，从小就开始阅读，可预防阿尔茨海默病。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q,
写字能够激活大脑的运动区域、视觉区域和认知区域。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q,
一生坚持写日记的人，患认知障碍的风险降低53%。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q,
写作是对记忆的强化，在遣词造句的过程中，思维和身体都得到很好的锻炼。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q,
老人还可以定期看写过的日记，唤起回忆，锻炼记忆功能。,
说话对大脑是种良性刺激，有助保持大脑活力。https://mp.weixin.qq.com/s/xK37690nLroFH7K0VR9t7Q,
 兴趣是可以培养出来的，而正向反馈是兴趣培养过程中最重要的因素。,
“谢谢你今天自己收拾玩具。” https://mp.weixin.qq.com/s/dPToPyi6JjjA77pitHt5QQ ,
一名学习差的学生害怕回答问题。老师悄悄约定：会就举左手，不会举右手。渐渐地，他变得开朗，成绩提升；老师又把方法推广给其他后进生，整个班级的自信心都被唤醒。,
一位初三毕业生提出要搞花卉种植。父母没有嘲笑，而是帮他联系基地、资金和专家。多年后，他把小花房做成跨国花卉公司。书中借此告诉父母：支持孩子的梦想，比替他选择“稳妥”道路更珍贵。（《不吼不叫：妈妈这样教，孩子一定喜欢（小学版）》）,
今天在学校过得怎么样？ 👉 “今天你帮同学了没？或者有没有小朋友帮你呀？”（引导关注和人相处的美好）,
今天在学校过得怎么样？ 👉 今天老师讲的内容里，有没有哪个让你觉得嘿，这个有意思？（帮他回忆开心的学习瞬间）,
今天在学校过得怎么样？ 👉 今天有啥事儿让你笑得不行吗？（从好玩的事入手，孩子更愿意说）,
“哭有啥用！” /  “你看，我早跟你说了吧！” 👉→ 我知道你现在肯定特难受，想哭就哭会儿吧，没事的。（先让他知道，他的情绪是被理解的）,
“哭有啥用！” /  “你看，我早跟你说了吧！” 👉→ 没关系，谁都有犯错的时候。咱俩一起看看，问题到底出在哪儿了？（重点是解决问题，不是指责）,
“哭有啥用！” /  “你看，我早跟你说了吧！” 👉→ 你敢去试一试，就已经很厉害了！比什么都不敢做强多了。（肯定他的勇气，而不是只看结果）,
“哭有啥用！” /  “你看，我早跟你说了吧！” 👉→ 是想自己待一会儿，还是想让妈妈陪陪你？（把选择权交给他，这是最大的尊重）,
“赶紧睡，明天还得上学！” 👉→ 不管今天你表现好不好，妈妈/爸爸都爱你，这一点永远都不会变。（这是安全感的定心丸）,
“赶紧睡，明天还得上学！” 👉 → 有没有什么开心的或者不高兴的事，想跟妈妈悄悄说说的？（打造睡前专属的悄悄话时间）,
“赶紧睡，明天还得上学！” 👉 → 晚安啦，我的宝贝。好好睡一觉，明天又是新的一天！（用一句温柔的祝福结束这一天）,
不要总是第一时间满足孩子的要求或欲望，给他们一个等待的时间或是通过做事情来交换，这是一个意志力锻炼的过程，可以更好的培养孩子的自制力和抵御诱惑的能力。,
我从来不相信什么懒洋洋的自由，我向往的自由是通过勤奋和努力实现的更广阔的人生，那样的自由才是珍贵的、有价值的。（山本耀司）,
从幼儿园阶段就应做语文准备，以五年级孩子“快乐的一天”作文为例，针对句子短、干巴巴的问题，可以尝试类似扩句的方法，在句中词语前加字加词，通过你来我往的互动，让句子变长。如“今天早上我起床”，逐步扩充为“今天早上7点半钟，闹钟一响，在妈妈不断的催促下，我极不情愿地赶紧起床” 。,
如果大人总是介入孩子自我纠正的过程，孩子反而失去了自我思考的能力，因为他们一直在接受现成答案和指导。,
（幼小衔接）数学学习存在图形、逻辑、数感三个关键方面。 https://mp.weixin.qq.com/s/xuvd0u9bQFkewv0vo6ie1g ,
（幼小衔接）​​画图与涂鸦​​：鼓励孩子画简单的物体（如房子、汽车），并引导其描述“窗户在屋顶的下面”“车轮是圆形的，挨在一起排列”。,
幼儿园阶段别直接问小孩1+1=？，要通过具体的场景去引导，比如：1个苹果和一根香蕉放在一起，有2个东西。,
语文的作文和阅读理解靠词汇量拉开差距词汇量积累关键在幼儿园阶段，小班家长每天给孩子讲一个故事，讲完问五个问题；中班家长每天读故事，读完让孩子反讲并问同样问题，同时培养孩子注意力和书面语表达；大班家长抱孩子读故事，以词为单位，读完问六个问题，包括对孩子的启示，训练概括总结提炼能力。https://mp.weixin.qq.com/s/xuvd0u9bQFkewv0vo6ie1g ,
要控制孩子幼儿园阶段屏幕暴露时间，避免因眼球肌肉发育问题导致阅读障碍。https://mp.weixin.qq.com/s/xuvd0u9bQFkewv0vo6ie1g,
原生家庭对孩子词汇量影响大，家长应避免在孩子面前看电视、玩手机，多与孩子交流，做孩子眼睛的翻译器。​​家长通过观察孩子的视线焦点，用语言描述孩子正在看的事物，并赋予其丰富的意义​​——这是最自然、最有效的语言输入方式。https://mp.weixin.qq.com/s/xuvd0u9bQFkewv0vo6ie1g,
当孩子盯着一只蚂蚁搬家时，不要只说“看蚂蚁”，而是详细描述：“哇，你看那只小蚂蚁，它正扛着一块比它身体还大的食物碎屑，一步一步往家里搬呢！它可能在给蚂蚁宝宝准备食物哦～”（加入动作描述“扛着”、因果关系“给蚂蚁宝宝”、情感联想“准备食物”）。,
在描述的基础上，通过开放式问题鼓励孩子参与对话：“你觉得小蚂蚁为什么要搬食物呀？”“如果云变成红色，天空会是什么样子呢？”即使孩子回答得很简单（如“不知道”“红的”），也要回应：“嗯！你观察得很仔细～或者是因为太阳快落山了，云被染红了呢！”（通过补充信息深化孩子的认知）。,
​​避免“沉默陪伴”​​：即使孩子在玩玩具，家长也可以“参与式陪伴”——坐在旁边描述孩子的动作：“你用积木搭了一座高高的塔！这座塔有5块积木那么高，会不会倒呢？”而不是只坐在一旁刷手机。,
陷入焦虑和懊恼且无法自拔，是我能够想象的、唯一浪费生命的方式。  https://mp.weixin.qq.com/s/NW2c00y-784IOfo1RzvMDg,
生活的根本任务在于，找到属于你的、适当且愉快的生活方式。 https://mp.weixin.qq.com/s/NW2c00y-784IOfo1RzvMDg,
得到了自己想要的其实是一件不幸的事。想要的新手机到手后，可能很快就没什么新鲜感了。幸福不是目标，而是一种过程中的状态。,
同理心并不是指一种技巧，而是指真诚一致，对于他人保持尊重、接纳和不予评价的态度。尤其需要注意的是，“不能评判”，一评判你就不是在用“同理心”对待孩子了。,
迈克尔·汤普森博士在对儿童社交心理研究中发现，孩子们维系友谊的基本条件，不是“外向”，而是相信自己和自己的朋友都很棒。,
教孩子跳绳，教了两个月，孩子是一个都没有跳过去过。有意思的是，上学之后，孩子一次就跳了10个。问他是怎么办到的。他说是小朋友教他的。,
拥有同理心（Empathy），重点不在于自己的感受，而在于能够感受到其他人的感受。,
权力思维是“我说了算”，规则思维是“咱们说了算”。,
