lesson, sentence,sentence2
N4,時間取りに終わるし、先輩で嫌な人はいたけど、がまんできるくらいだし。,我慢<bearing with sth.>
N4,他にいい仕事が見つかったの？,見つかる
N4,うん、給料も悪くなかったし、 ちょっともったいなかったかな。, もったいない
N4,キッチンから、カレーの匂いがしてきます。,音、声、味、匂い、香り、感じなど感覚を表したいときの言い方。
N3,子供の頃は、よく母に叱られたものだ。, Vたものだ＝よくVした，過去の状態やよく起こったことを思い出して言う時の表現。
0,外国人在留マニュアルは、日本で犯罪に巻き込まれず、安全で安心な生活を送るために役立つ冊子です,～ず＝ないで
0,東京都には、多くの外国人の方が生活しています。,多くの
0,この中に聴解の音声ファイルが入っています。,ファイル
0,月曜日に「総まとめN4」の間違えたところの答えを確認して提出してください。,ところ
0,「NAT-TEST」はできるところまでで大丈夫です。採点までして終わったら提出してください。,提出[ていしゅつ]
0,けれども、母は病気になってからは、起こる元気もなくなったようでした。,
0,大学生になると、かなり自分のしたいことができるようになりましたが、母とずいぶん喧嘩もしました。,になると；喧嘩[けんか]
0,あそこのレストランがおいしいそうだ。,听说那间餐厅很好吃。[伝聞，イ形容詞＋そづだ]
0,彼のガールフレンドはきれいだそうだ。,听说他的女朋友很漂亮。[伝聞，ナ形容詞＋だ＋そうだ]
0,あの人は有名人だそうだよ。,听说那个人是个名人。[伝聞，名詞⁺だ＋そうだ]
0,彼は最近仕事を探しているそうだ。,听说他最近正在找工作。[伝聞，终止形そう，]
0,道路が濡れているから、雨が降ったようですね。,～ようだ[推测，过去可能发生了什么；没有当场看到，只是凭自己的感觉进行推测]
0,おいしいようだ。,（某家餐厅上了新闻等）感觉应该很好吃。
0,明日は天気がよさそうですよ。,~そうだ[推测，未来可能要发生什么；通过亲眼看到东西后，觉得如何]
0,あ、雨が降りそうだ。, Vマス形⁺そうだ[推测]
0,彼は一日中何もしないで、暇そうだな。, ナ形容詞＋そう
0,この寿司おいしそうだね。, イ形容詞词干+そう[様態]
0,春になって、池の氷が解けてきました。,解ける[とける]
0,どうしよう。財布をどこに落としたかもしれない。,~かもしれない
0,このパソコン、変です。壊れているみたいです。,~みたいです
0,先生A「これは、誰のレポートでしょうか。」先生B「名前が書いてありませんから、わからないですよ。」, 他動詞＋てある
0,そのあと、レオがボールを持ってきて、僕に投げろというので、一緒に遊んでやりました。, 投げる[なげる]
0,学校で習ったことは忘れないように、毎日復習をしています。, ~ように
0,「トレーニング」 is mainly about developing one's athletic ability and building up the body so that it can be active in sports., トレーニング[training]
