sentence,remark
课题分离是阿德勒提出的概念，用于解决人际关系矛盾。它要求人们明确自己的责任范围，不干涉他人课题，也不被他人干涉，从而避免内耗，专注于自身应负责的部分。,
黄金没有一个统一的开采成本，每个金矿的开采成本都不一样。反过来说，如果金价跌了，好多原本被当成金矿的地方，就不再是金矿了。https://mp.weixin.qq.com/s/o-uYggmTe7fOemz14ntp0Q ,
如果集中持有低估的资产，一生只需错一次，之前所有的努力都会被清零；如果分散持有高估的资产，你的资产会被通货膨胀一点一点地腐蚀，终有一天变得聊胜于无。低估分散，缺一不可。,
人的一个规律是，成长过程中，会主动模仿身边“最被人尊敬”的那个人。,
当天上掉金子时，要用盆子去接，而不是用勺子去接。 在股市从高点暴跌30%时，应该准备好盆子了。https://xueqiu.com/3470330399/216812818 ,
如果你有一个资产包，这个包里中有几十家公司，每家公司的净资产都大于100亿，每家公司都长期坚持分红，并且每家公司的审计机构全部是“四大”，则你几乎可以确定，这个资产包基本是干净的。https://mp.weixin.qq.com/s/r3X5JNVspVD6cg3Hog1dVQ ,
人成熟有两个重要标志：第一是不需要向自身以外获取认同，自己对自己的价值认同完全取决于自己，不因为全天下都贬低自己而自我怀疑，更不因为全天下都鼓励夸奖自己而更加努力，当然也不会因为父母伴侣好友不理解就愤世嫉俗；第二是认识到亲人和朋友间价值观不是最重要的东西，其上还有更重要的事情！(X:LIN WEI),
用没有牛市时的收入、利润，去给券商估值。如果下得去嘴，就可以吃。万一有牛市，那多出来的利润，就算白送的。 https://mp.weixin.qq.com/s/5GxOzLiCqTOihS27zZYHHA ,
对低估的资产而言，没有坏事就是好事；对高估的资产而言，没有好事就是坏事。https://mp.weixin.qq.com/s/J-p5Ow10vkAeA9h5Ekc7FQ ,
融券卖出的股票是必须买回来的，因此长远来看，杠杆是中性因素，它“加剧”市场的涨跌，但不“决定”市场的涨跌。 https://mp.weixin.qq.com/s/J-p5Ow10vkAeA9h5Ekc7FQ ,
“成交量小”意味着：引发上涨或下跌，所需要的资金量更小。说得再简单点，就是上涨和下跌都更容易。而不是某个方向更容易，某个方向更难。,
孩子给你制造“麻烦”的时候，就是考验育儿理念的时候。,
从市盈率的角度看，当市场整体市盈率低于10倍时，就存在明确的系统性机会；当市场整体市盈率高于20倍时，就存在明确的系统性风险。,
本金小的时候，最适合积累经验。在钱少的时候趁早进入证券市场，把能犯的错误都犯一遍，不要等到钱多的时候再犯错。,
运动后可以产生一种良好的感觉，显然与内啡肽分泌有着直接的关联，产生类似于服用鸦片所经历的欣快及兴奋状态。,
研究表明，有氧运动不仅增加了内啡肽及其他内源性阿片类物质的释放，在跑步训练结束后，内啡肽含量仍然是增加的，这些都是运动给人良好感觉的物质基础。,
早上接受阳光照射非常重要。自然光有助于调节褪黑激素水平，让人该清醒时清醒，该睡觉时睡觉。伦敦大学国王学院的一项新研究发现，光是天然抗抑郁剂，可促进人体内维生素D的生成，帮助抵御癌症和心脏病。晒太阳时，户外散步最好，哪怕靠窗坐着也会有益。,
王国斌：你一定要走到正道上去，带着正气去做事情，所有的耐心都会得到回报，市场会非常有效地把财富从没耐心的人那里转移到有耐心的人那里。,
发明手机的初衷是获得信息主动权，我可以即时知道我想知道的信息，我可以即时让对方知道他必须知道的信息，但发明者没有料到技术的反噬，就是当这种主动权掌握在他人手里时，自己就成了受害者。发明者更没有料到，他让很多没有主动权的人成了受害者。,
现金分红的本质是以1倍的市净率，清算掉公司的一部分资产。公司当前的估值越低，这种清算行为对投资者越有利。https://mp.weixin.qq.com/s/vfMBKH6dzASUFhjtg-MuzQ ,
申万风格指数系列中的“活跃股指数”选取每周换手率最高的100只股票，成分股每周更新一次。这个指数就是假设投资者是个狂热的追热点型选手，每周买入上周最热门的股票，短期持有并卖出。这个指数用了17年的时间，由1000点跌至了最后的10.11点。 https://m.jiemian.com/article/2224157.html ,
从2000年开始，18年间申万风格的绩优股指数增长了约6.85倍，折合成带复利的年化收益率约为11.3%。 https://m.jiemian.com/article/2224157.html ,
申万风格市盈率/市净率系列指数：选取市盈率/市净率最高、中位数上下、最低的股票为成分股，一年更换两次。低市盈率指数表现最好，优于低市净率指数，市盈率指标性更好，高市盈率或市净率股票未体现高增长高收益。,https://m.jiemian.com/article/2224157.html 
从市净率的角度看，当市场整体市净率在1倍左右时，就存在明确的系统性机会；当市场整体市净率高于2倍时，就存在明确的系统性风险。,
损失厌恶心理使人过早卖出盈利资产，长期持有亏损资产。,
避免被买入成本价影响卖出决策。,
巴菲特指标（股市总市值/GDP）超过120%时警惕风险。,
一项《美国园艺期刊》的研究表明:植物的香气通过唤起嗅觉意象和情绪记忆，能够调节情绪、缓解压力。,
擅长「治疗性拥抱」的心理学家 Kraushaar 博士建议，人可以通过与人或树木持续拥抱 21 秒，来激发催产素，提升信任感与平静感。,
一项发表于《Science》的经典研究发现，术后病人如果病房窗外能看到树木，恢复速度更快、用药更少、情绪也更稳定。,
日本东京医科大学的研究发现，当人们在有树的环境中停留时，大脑中与压力相关的区域（如杏仁核）会变得更安静，心率下降，呼吸放缓，体内的压力激素水平（皮质醇）也同步降低。,
打造产品要从解决客户实际问题出发，而不是从企业想提供的业务出发。,
逆向思维的本质是‌突破“可得性启发式偏差”‌（Availability Heuristic），即人类倾向于依赖易获得的信息做判断。,
拼多多早期不被看好，因其用户集中在“五环外”，但黄峥团队逆向思考：“未被主流电商覆盖的4亿人口，恰是增量市场”。,
研究行业倒数10%企业的通病，制定“避坑指南”。日本7-11逆向分析倒闭便利店，发现“SKU过多”致命伤。,
逆向思维依赖前额叶皮层（逻辑分析）与默认模式网络（创造性想象）的协同激活。可以进行脑科学训练‌：每日15分钟“逆向冥想”——闭眼想象习以为常的事物反向运作（如水从玻璃杯流回壶中）,
在二战期间，英美军方基于返航战机弹痕分布数据提出“弹痕多=需加强防护”的结论，而统计学家亚伯拉罕·瓦尔德（Abraham Wald）通过逆向思维揭示了这一决策的致命漏洞：‌返航飞机的弹痕分布仅代表“可承受损伤”，而引擎、驾驶舱等弹痕少的部位一旦中弹，战机往往无法幸存，导致这些关键部位的受损数据被系统性遗漏‌。这一洞见不仅修正了军方决策，更成为统计学中“幸存者偏差”的经典案例‌,
长期孤独的人与社交活跃的人相比，其白细胞中的基因表达存在显著差异。孤独者的基因表达倾向于促进炎症反应，而社交活跃者的基因表达则倾向于抗病毒反应。这种差异可能与早期人类的社会环境和生存挑战有关。 https://www.scientificamerican.com/article/how-happiness-boosts-the-immune-system/ ,
要有一个偏创造输出型的爱好。旅行、阅读、看演唱会、看电影，这些爱好当然很好，但它们都偏享乐型。享乐型的爱好可以娱乐自己，让自己开心，但遗憾的是，它们很难形成作品，并对别人产生帮助或者影响。做一个产品，开一家公司，运营一个抖音号，写一篇文章，拍一组照片，这都是创造。,
无论什么境遇下，都让自己处于创造的状态里，创造一篇对别人有用的文章，创造一个对别人有用的产品，创造一个对别人有用的观点。主动地去创造，创造才可能获得机会。,
观看广告时，分析广告投放的品类、品牌选择、广告设计等问题，有助于形成对商业策略的理解。,
YouTuber、创作者们将工作流封装成模板，本质上是在用非编码方式开发软件。有位生活方式博主把内容日历模板卖出 900 美元/份，充分证明工具赋能的潜力。,
问题就是机会。商机就是，你能用更好的办法为别人解决问题，别人愿意为此付费。,
问题就是机会。别人有没有类似问题，能否提供解决方案，是否为商机。,
一个事情发生，如果三年后回头看它不重要，那它在这个时间也不重要。,
16 岁移民加拿大时，我发现国内学的都是应试英语，严重缺乏文化语境。要理解西方幽默，最好的方式就是看《海绵宝宝》和《辛普森一家》。通过动画片掌握“笑点”是教科书永远教不会的技能。 https://m.okjike.com/originalPosts/67d0e9d773ce884ac09be839 ,
应该把革命性愿景藏在人们熟悉的外壳里。就像给小孩喂蔬菜——要把西兰花裹上糖衣，他们才会接受。现在的 Notion 表面是生产力套件，内核却是无代码开发平台。说实话，这个认知的迭代我花了两年多时间。https://m.okjike.com/originalPosts/67d0e9d773ce884ac09be839  ,
商业世界存在两种模式：整合与分拆。计算机发展初期，所有功能都是独立硬件（分）；微软通过 Office 套件实现整合（合）；SaaS 时代又拆分成数百个垂直工具（分）；现在 AI 时代，我们看到整合的回归——平均企业使用近百个 SaaS 工具，这显然不可持续。,
